,acousticness,danceability,energy,instrumentalness,popularity,speechiness
352,0.995,0.408,0.242,1.31e-05,0,0.0722
353,0.995,0.5870000000000001,0.158,0.2239999999999999,0,0.208
354,0.996,0.514,0.127,0.958,0,0.0688
355,0.984,0.441,0.2,0.598,0,0.0392
356,0.674,0.645,0.445,0.7440000000000001,6,0.451
357,0.797,0.695,0.263,0.0,0,0.957
358,0.994,0.434,0.177,0.0218,0,0.0512
359,0.995,0.321,0.0946,0.918,0,0.0504
360,0.965,0.51,0.355,0.0,0,0.124
361,0.993,0.563,0.184,1.55e-05,0,0.0512
362,0.62,0.488,0.475,0.00645,0,0.0399
363,0.996,0.5479999999999999,0.0391,0.933,0,0.153
364,0.794,0.6759999999999999,0.235,0.0,0,0.96
365,0.578,0.75,0.2289999999999999,0.0,0,0.955
366,0.521,0.298,0.46,0.856,0,0.4529999999999999
367,0.995,0.703,0.28,6.840000000000001e-05,0,0.174
368,0.967,0.7090000000000001,0.289,0.0,0,0.18
369,0.754,0.687,0.198,0.0,0,0.962
370,0.67,0.8,0.171,0.0,0,0.953
371,0.691,0.7,0.208,0.0,0,0.956
372,0.996,0.352,0.3339999999999999,0.00746,0,0.0594
373,0.985,0.37,0.3720000000000001,0.000681,0,0.0865
374,0.996,0.335,0.304,0.0832,0,0.0506
375,0.728,0.7040000000000001,0.244,0.0,0,0.959
376,0.994,0.3389999999999999,0.0958,0.969,0,0.053
377,0.665,0.655,0.214,0.0,0,0.962
378,0.539,0.6729999999999999,0.239,0.0,0,0.96
379,0.972,0.5820000000000001,0.152,0.0,0,0.0914
380,0.994,0.42,0.288,0.000216,5,0.0701
381,0.994,0.373,0.176,0.866,0,0.0703
382,0.993,0.5920000000000001,0.408,1.54e-06,0,0.271
383,0.992,0.55,0.31,0.0,0,0.168
384,0.996,0.482,0.0283,0.77,0,0.0732
385,0.974,0.273,0.318,0.163,0,0.0694
386,0.993,0.373,0.244,0.0478,0,0.0538
387,0.7,0.7170000000000001,0.2019999999999999,0.0,0,0.967
388,0.996,0.462,0.119,0.88,0,0.0793
389,0.995,0.532,0.375,1.22e-06,0,0.298
390,0.679,0.7170000000000001,0.242,0.0,0,0.947
391,0.992,0.4579999999999999,0.178,0.8170000000000001,0,0.0614
392,0.994,0.52,0.262,0.000852,0,0.132
393,0.989,0.4270000000000001,0.18,0.0,0,0.067
394,0.8170000000000001,0.721,0.127,0.0,0,0.95
395,0.996,0.457,0.193,0.348,0,0.0655
396,0.769,0.7290000000000001,0.211,0.0,0,0.957
397,0.619,0.741,0.213,0.0,0,0.962
398,0.563,0.685,0.257,0.0,0,0.955
399,0.626,0.491,0.439,0.0,0,0.105
400,0.995,0.236,0.124,0.981,0,0.0515
401,0.995,0.43,0.168,0.928,0,0.0622
402,0.995,0.545,0.268,0.92,0,0.191
403,0.991,0.467,0.3279999999999999,1.57e-05,0,0.0354
404,0.996,0.484,0.0558,0.278,0,0.0575
405,0.813,0.6729999999999999,0.237,0.0,0,0.962
406,0.981,0.218,0.3939999999999999,0.301,0,0.0388
407,0.6829999999999999,0.7509999999999999,0.173,0.0,0,0.951
408,0.926,0.634,0.00399,0.919,0,0.0377
409,0.99,0.5429999999999999,0.424,0.0379,0,0.2689999999999999
410,0.581,0.715,0.204,0.0,0,0.943
411,0.994,0.36,0.0954,0.726,0,0.064
412,0.596,0.721,0.218,0.0,0,0.941
413,0.643,0.721,0.196,0.0,0,0.939
414,0.831,0.625,0.187,0.0,0,0.963
415,0.623,0.732,0.176,0.0,0,0.966
416,0.6579999999999999,0.8270000000000001,0.258,0.0,0,0.956
417,0.6659999999999999,0.735,0.244,0.0,0,0.956
418,0.73,0.619,0.173,0.0,0,0.967
419,0.593,0.768,0.2319999999999999,0.0,0,0.962
420,0.995,0.431,0.2,0.821,0,0.0322
421,0.996,0.564,0.053,0.927,0,0.127
422,0.992,0.4970000000000001,0.218,0.0,0,0.0345
423,0.996,0.527,0.142,0.907,0,0.0612
424,0.979,0.564,0.433,3.74e-06,0,0.356
425,0.748,0.695,0.186,0.0,0,0.957
426,0.642,0.7020000000000001,0.2,0.0,0,0.961
427,0.591,0.773,0.155,0.0,0,0.963
428,0.757,0.6459999999999999,0.26,0.0,0,0.963
429,0.6759999999999999,0.78,0.18,0.0,0,0.963
430,0.996,0.53,0.147,0.894,0,0.0663
431,0.993,0.3879999999999999,0.2019999999999999,0.917,0,0.0517
432,0.482,0.634,0.237,0.0,0,0.961
433,0.987,0.716,0.301,0.0,0,0.105
434,0.52,0.7140000000000001,0.2189999999999999,0.0,0,0.954
435,0.996,0.541,0.161,0.907,0,0.094
436,0.995,0.5539999999999999,0.204,1.24e-06,0,0.0598
437,0.3339999999999999,0.677,0.314,0.0,0,0.963
438,0.994,0.442,0.177,0.000896,0,0.0571
439,0.996,0.45,0.0522,0.929,0,0.0583
440,0.1989999999999999,0.657,0.325,0.856,0,0.254
441,0.996,0.493,0.0763,0.909,0,0.0612
442,0.649,0.736,0.216,0.0,0,0.959
443,0.532,0.723,0.22,0.0,0,0.932
444,0.996,0.53,0.0468,0.937,0,0.0853
445,0.144,0.644,0.684,0.802,0,0.1989999999999999
446,0.525,0.632,0.217,0.0,0,0.963
447,0.845,0.62,0.187,0.0,0,0.962
448,0.984,0.625,0.35,0.0,0,0.312
449,0.995,0.43,0.155,0.952,0,0.1159999999999999
450,0.5,0.7140000000000001,0.2,0.0,0,0.965
451,0.865,0.6609999999999999,0.225,0.0,0,0.966
452,0.728,0.718,0.221,0.0,0,0.949
453,0.996,0.366,0.0749,0.924,0,0.0806
454,0.995,0.511,0.206,0.0,0,0.0592
455,0.995,0.496,0.158,0.638,0,0.0423
456,0.98,0.422,0.561,3.41e-06,0,0.461
457,0.996,0.493,0.0997,0.481,0,0.0607
458,0.996,0.6559999999999999,0.283,0.00597,0,0.191
459,0.985,0.313,0.102,0.97,0,0.0436
460,0.98,0.425,0.308,0.0,0,0.0534
461,0.474,0.6509999999999999,0.574,0.713,0,0.104
462,0.727,0.657,0.181,0.0,0,0.963
463,0.992,0.3229999999999999,0.106,0.918,0,0.0483
464,0.995,0.476,0.131,0.929,0,0.0523
465,0.993,0.357,0.244,0.0455,0,0.0478
466,0.872,0.728,0.162,0.0,0,0.965
467,0.716,0.769,0.205,0.0,0,0.965
468,0.653,0.6459999999999999,0.1889999999999999,0.0,0,0.964
